,Time,Voltage
634,52.38862,0.9613917
635,52.47126,0.9613901
636,52.55388,0.9613982
637,52.63653,0.9614
638,52.71917,0.9614086
639,52.80178,0.9614208
640,52.88442,0.961419
641,52.96705,0.9614296
642,53.04968,0.9614379
643,53.13229,0.9614344
644,53.21493,0.9614452
645,53.29754,0.9614407
646,53.38019,0.9614475
647,53.4628,0.9614542
648,53.54541,0.9614626
649,53.62805,0.9614634
650,53.71069,0.9614727
651,53.79333,0.9614828
652,53.87594,0.9614875
653,53.95857,0.9614822
654,54.04119,0.9614895
655,54.12382,0.9614952
656,54.20645,0.9614962
657,54.28909,0.9615056
658,54.3717,0.9615127
659,54.45433,0.9615116
660,54.53696,0.9615198
661,54.61957,0.9615262
662,54.70221,0.9615305
663,54.78483,0.9615377
664,54.86748,0.9615381
665,54.95009,0.9615428
666,55.03273,0.9615458
667,55.11538,0.9615576
668,55.19803,0.9615614
669,55.28068,0.9615638
670,55.36331,0.9615716
671,55.44596,0.9615721
672,55.52861,0.9615679
673,55.61126,0.9615757
674,55.69391,0.9615808
675,55.77656,0.9615859
676,55.85919,0.9615937
677,55.94184,0.9615982
678,56.02448,0.961601
679,56.10711,0.961612
680,56.18975,0.9616181
681,56.27239,0.9616247
682,56.35504,0.9616302
683,56.43766,0.9616335
684,56.52031,0.9616387
685,56.60295,0.9616446
686,56.68559,0.9616466
687,56.76822,0.9616516
688,56.85086,0.9616591
689,56.9335,0.9616567
690,57.01612,0.9616596
691,57.09876,0.9616625
692,57.18141,0.9616669
693,57.26404,0.9616705
694,57.34666,0.9616746
695,57.42929,0.9616798
696,57.51193,0.961684
697,57.59455,0.9616925
698,57.67719,0.9617029
699,57.75983,0.9617121
700,57.84248,0.9617152
701,57.92509,0.9617229
702,58.00773,0.9617226
703,58.09035,0.9617289
704,58.17299,0.9617366
705,58.25562,0.9617356
706,58.33825,0.9617414
707,58.42087,0.9617494
708,58.50349,0.9617494
709,58.58613,0.9617558
710,58.66877,0.9617584
711,58.75141,0.9617599
712,58.83402,0.9617615
713,58.91665,0.9617665
714,58.99926,0.9617735
715,59.08189,0.9617721
716,59.16453,0.9617907
717,59.24716,0.9617908
718,59.32979,0.9617931
719,59.41241,0.9618024
720,59.49504,0.961809
721,59.57764,0.9618134
722,59.66028,0.9618155
723,59.74289,0.9618233
724,59.8255,0.9618255
725,59.90811,0.9618367
726,59.99076,0.9618325
727,60.07337,0.9206179
728,60.15601,0.8706446
729,60.23866,0.8278211
730,60.32127,0.7895256
731,60.40391,0.7547036
732,60.48653,0.7228029
733,60.56917,0.6933821
734,60.6518,0.6661526
735,60.73445,0.6408287
736,60.81707,0.6172453
737,60.89968,0.5952074
738,60.98232,0.574578
739,61.06494,0.5551994
740,61.14757,0.5369698
741,61.2302,0.5197898
742,61.31281,0.5035772
743,61.39543,0.4882237
744,61.47807,0.4736816
745,61.56069,0.4598985
746,61.64333,0.4468085
747,61.72597,0.4343356
748,61.8086,0.4224707
749,61.89123,0.4111662
750,61.97386,0.4003809
751,62.05646,0.390076
752,62.13908,0.3802265
753,62.22173,0.3708215
754,62.30434,0.3618067
755,62.38699,0.3531699
756,62.46964,0.3448957
757,62.55225,0.3369526
758,62.63488,0.3293122
759,62.71751,0.3219872
760,62.80014,0.3149407
761,62.88276,0.3081727
762,62.96539,0.3016631
763,63.048,0.2953871
764,63.13063,0.2893474
765,63.21326,0.2835197
766,63.29589,0.2778868
767,63.37854,0.2724706
768,63.46116,0.2672369
769,63.54379,0.2621828
770,63.62641,0.2573057
771,63.70905,0.2525856
772,63.79169,0.2480246
773,63.87432,0.2436085
774,63.95694,0.2393252
775,64.03958,0.2351862
776,64.12222,0.2311813
777,64.20487,0.2272934
778,64.28751,0.2235331
779,64.37014,0.2198804
780,64.45279,0.2163492
781,64.53542,0.2129097
782,64.61805,0.2095743
783,64.70068,0.2063424
784,64.78332,0.2032032
785,64.86594,0.2001523
786,64.94857,0.1971886
787,65.0312,0.1943132
788,65.11383,0.1915066
789,65.19648,0.1887744
790,65.27912,0.1861271
791,65.36176,0.1835508
792,65.44438,0.1810504
793,65.52702,0.1786118
794,65.60964,0.1762236
795,65.69228,0.1739077
796,65.77492,0.1716582
797,65.85754,0.1694534
798,65.94017,0.1673175
799,66.02278,0.1652308
800,66.10541,0.1631958
801,66.18806,0.1612135
802,66.2707,0.1592793
803,66.35333,0.1573887
804,66.43596,0.1555521
805,66.5186,0.1537486
806,66.60122,0.1519945
807,66.68385,0.1502734
808,66.76648,0.148603
809,66.84911,0.1469658
810,66.93173,0.145363
